,Description
215,CHERRY 
216,CHERRY 
217,CHERRY 
218,CHERRY 
219,CHINESE 
220,CHINGS 
221,CHING`S 
222,CHING`S 
223,CHOCOLATE 
224,CHOCOLATE 
225,CHUDUVA 
226,CHUDUVA 
227,CHUDUVA 
228,CIF 
229,CIF 
230,CIF 
231,CINTHOL 
232,CINTHOL 
233,CLINIC 
234,CLINIC 
235,CLIP & 
236,CLIPS 
237,CLOSE 
238,CLOSE 
239,CLOSE 
240,CLOSE 
241,CLOTH 
242,CLOTH 
243,COCACOLA 
244,COCACOLA 
245,COCACOLA 
246,COCACOLA 
247,COCACOLA 
248,COCACOLA 
249,COCOA 
250,COCONUT 
251,COLGATE 
252,COLGATE 
253,COLGATE 
254,COLGATE 
255,COLGATE 
256,COLGATE 
257,COLGATE 
258,COLGATE 
259,COLGATE 
260,COLGATE 
261,COLGATE 
262,COLGATE 
263,COLGATE 
264,COLGATE 
265,COLGATE 
266,COLGATE 
267,COLGATE 
268,COLGATE 
269,COLGATE 
270,COLIN 
271,COLIN 
272,COMPLAN 
273,COMPLAN 
274,COMPLAN 
275,COMPLAN 
276,COMPLAN 
277,COMPLAN 
278,COPRA 
279,COPRA 
280,CORNETTO 
281,CORNETTO 
282,CORNETTO 
283,CORNETTO 
284,CORNFLOUR 
285,CORNFLOUR 
286,COTTON 
287,COTTON 
288,COTTON 
289,CRANE 
290,CRANE 
291,CRANE 
292,CRYSTAL 
293,CRYSTAL 
294,CRYSTAL 
295,CRYSTAL 
296,CRYSTAL 
297,CRYSTAL 
298,CRYSTAL 
299,CURD 
300,CURD 
301,CYCLE 
302,CYCLE 
303,DABUR 
304,DABUR 
305,DABUR 
306,DABUR 
307,DABUR 
308,DABUR 
309,DABUR 
310,DABUR 
311,DABUR 
312,DABUR 
313,DABUR 
314,DABUR 
315,DABUR 
316,DABUR 
317,DABUR 
318,DABUR 
319,DABUR 
320,DABUR 
321,DALCHANI 
322,DALCHANI 
323,DALDA 
324,DALDA 
325,DANONE 
326,DANONE 
327,DARK 
328,DARKFANTASY 
329,DETTOL 
330,DETTOL 
331,DETTOL 
332,DETTOL 
333,DETTOL 75*4 
334,DETTOL 
335,DETTOL 
336,DETTOL 
337,DETTOL 
338,DETTOL 
339,DETTOL 
340,DETTOL 
341,DETTOL 
342,DETTOL 
343,DETTOL 
344,DHANALAXMI 
345,DHANIYA 
346,DHANIYA 
347,DOMEX 
348,DOMEX 
349,DOMEX 
350,DOMEX 
351,DOMEX 
352,DOOR 
353,DOOR 
354,DOOR 
355,DOOR 
356,DOVE 3*100G 
357,DOVE 
358,DOVE 
359,DOVE 
360,DOVE 
361,DOVE 
362,DOVE 
363,DOVE 
364,DRY 
365,DRY 
366,DURACELL 
367,DURACELL 
368,DURACELL 
369,DURACELL 
370,DURGA 
371,DURGA 
372,DURGA 
373,DURGA 
374,DUST 
375,DUSTBIN 
376,DUSTER 
377,ELACHI 
378,ELACHI 
379,ELITE 
380,ELITE 
381,ELITE 
382,EVA 
383,EVA 
384,EVER 
385,EVER 
386,EVER 
387,EVEREST 
388,EVEREST 
389,EVEREST 
390,EVEREST 
391,EVEREST 
392,EVEREST 
393,EVEREST 
394,EVEREST 
395,EVEREST 
396,EVEREST 
397,EVEREST 
398,EVEREST 
399,EVEREST 
400,EVEREST 
401,EVEREST 
402,EVEREST 
403,EVEREST 
404,EVEREST 
405,EVEREST 
406,EVEREST 
407,EVEREST 
408,EVEREST 
409,EVEREST 
410,EVEREST 
411,EVEREST 
412,EVEREST 
413,FAIR 
414,FAIREVER 
415,FAIREVER 
416,FAIREVER 
417,FANTA 
418,FANTA 
419,FANTA 
420,FANTA 
421,FANTA 
422,FANTA 
423,FANTA 
424,FANTA 
425,FEAST 
426,FEAST 
427,FEAST 
428,FEAST 
429,FELIX 
430,FELIX 
431,FEM 
432,FEM 
433,FEVI 
434,FEVI 
435,FEVICOL 
436,FREEDOM 
437,FREEDOM 
438,FREEDOM 
439,GARNIER 
440,GARNIER 
441,GARNIER 
442,GARNIER 
443,GARNIER 
444,GARNIER 
445,GARNIER 
446,GARNIER 
447,GARNIER 
448,GARNIER 
449,GARNIER 
450,GARNIER 
451,GARNIER 
452,GARNIER 
453,GATORADE 
454,GATORADE 
455,GEM 
456,GEM 
457,GILLETTE 
458,GILLETTE 
459,GILLETTE 
460,GILLETTE 
461,GILLETTE 
462,GILLETTE 
463,GILLETTE 
464,GILLETTE 
465,GILLETTE 
466,GILLETTE 
467,GILLETTE 
468,GILLETTE 
469,GILLETTE 
470,GILLETTE 
471,GILLETTE 
472,GILLETTE 
473,GILLETTE 
474,GLADE 
475,GLADE 
476,GLO 
477,GLO 
478,GLUCOND 
479,GLUCOND 
480,GLUCOND 
481,GLUCOND 
482,GLUCOND 
483,GLUCOND 
484,GLUCOVITA 
485,GODREJ 
486,GODREJ 
487,GODREJ 
488,GODREJ 
489,GODREJ 
490,GODREJ 
491,GODREJ 
492,GOLD 
493,GOLD 
494,GOOD 
495,GOOD 
496,GOOD 
497,GOOD 
498,GOOD 
499,GOOD 
500,GOOD 
501,GOOD 
502,GOOD 
503,GOPURAM 
504,GOPURAM 
505,GOPURAM 
506,GROUND 
507,GROUND 
508,GROUND 
509,HALDI 
510,HALDIRAM 
511,HALDIRAM`S 
512,HALDIRAM`S 
513,HALDIRAM`S 
514,HALDIRAM`S 
515,HALDIRAM`S 
516,HALDIRAM`S 
517,HALDIRAM`S 
518,HALDIRAM`S 
519,HALDIRAM`S 
520,HAMAM 
521,HAMAM 
522,HARPIC 
523,HARPIC 
524,HARPIC 
525,HENKO 
526,HENKO 
527,HERITAGE 
528,HERITAGE 
529,HERITAGE 
530,HERITAGE 
531,HERITAGE 
532,HERITAGE 
533,HIMALAYA 
534,HIMALAYA 
535,HIMALAYA 
536,HIMALAYA 
537,HIMALAYA 
538,HIMALAYA 
539,HIMALAYA 
540,HIMALAYA 
541,HIMALAYA 
542,HIMALAYA 
543,HIMANI 
544,HIMANI 
545,HIMANI 
546,HIMANI 
547,HIT 
548,HIT 
549,HIT 
550,HIT 
551,HIT 
552,HORLICKS 
553,HORLICKS 
554,HORLICKS 
555,HORLICKS 
556,HORLICKS 
557,HORLICKS 
558,HORLICKS 
559,HUGGIES 
560,HUGGIES 
561,HUGGIES 
562,HUGGIES 
563,HUGGIES 
564,HUGGIES 
565,I D 
566,I D 
567,I D 
568,I D 
569,JAGGRY 
570,JAGGRY 
571,JAGGRY 
572,JAPATRI 
573,JAPATRI 
574,JEERA 
575,JEERA 
576,JEERA 
577,JET 
578,JET 
579,JOHNSON 
580,JOHNSON 
581,JOHNSON 
582,JOHNSON 
583,JOHNSON`S 
584,K SANAGALU 
585,K SANAGALU 
586,KAJU 
587,KAJU 
588,KAJU 
589,KAJU 
590,KAJU 
591,KAJU 
592,KAJU 
593,KAJU 
594,KALA 
595,KALA 
596,KALA 
597,KAMADHENU 
598,KAMADHENU 
599,KAMAL 
600,KAMAL 
601,KAMAL 
602,KAMAL 
603,KAMAL 
604,KAMAL 
605,KAMAL 
606,KAMAL 
607,KAMAL 
608,KAMAL 
609,KAMAL 
610,KAMAL 
611,KAMAL 
612,KAMAL 
613,KAMAL 
614,KAMAL 
615,KAMAL 
616,KAMAL 
617,KAMAL 
618,KAMAL 
619,KAMAL 
620,KAMAL 
621,KAMAL 
622,KAMAL 
623,KAMAL 
624,KAMAL 
625,KAMAL 
626,KAMAL 
627,KAMALA 
628,KAMALA 
629,KAMALBRAND 
630,KANGARO 
631,KANGARO 
632,KARA 
633,KARACHI 
634,KARAKAI 
635,KELLOGG*S SP 
636,KELLOGG`S 
637,KELLOGG`S 
638,KELLOGG`S 
639,KELLOGG`S 
640,KELLOGG`S 
641,KELLOGG`S 
642,KELLOGG`S 
643,KELLOGG`S 
644,KELLOGG`S 
645,KINLEY 
646,KINLEY 
647,KIS 
648,KIS 
649,KIS 
650,KISSAN 
651,KISSAN 
652,KISSAN 
653,KISSAN 
654,KISSAN 
655,KISSAN 
656,KISSAN 
657,KISSAN 
658,KITCHEN 
659,KITCHEN 
660,KIWI 
661,KIWI 
662,KIWI 
663,KIWI 
664,KIWI 
665,KNORR 
666,KNORR 
667,KURKURE 
668,KURKURE 
669,KUS 
670,KUS 
671,KUS 
672,LAKME 
673,LAKME 
674,LAKME 
675,LAKME 
676,LAKME 
677,LAKME P 
678,LAKME 
679,LAKME 
680,LAKME 
681,LAKME 
682,LAKME 
683,LAKME 
684,LAVANGAM 
685,LAVANGAM 
686,LAVANGAM 
687,LAYS 
688,LAYS 
689,LAYS 
690,LAYS 
691,LAYS 
692,LAYS 
693,LIFEBUOY 
694,LIFEBUOY 
695,LIFEBUOY 
696,LIFEBUOY 
697,LILY 
698,LILY 
699,LIMCA 
700,LIMCA 
701,LIMCA 
702,LIMCA 
703,LIMCA 
704,LION 
705,LION 
706,LION 
707,LION 
708,LION 
709,LION 
710,LION 
711,LIRIL 
712,LIRIL 
713,LOREAL 
714,LOREAL 
715,LOREAL 
716,LOREAL 
717,LOREAL 
718,LOTTE 
719,LOTTE 
720,LOTUS 
721,LOTUS 
722,LOTUS 
723,LOTUS 
724,LOTUS 
725,LOTUS 
726,LOTUS 
727,LOTUS 
728,LOTUS 
729,LOTUS 
730,LOTUS 
731,LOTUS 
732,LOTUS 
733,LOTUS 
734,LOTUS 
735,LOTUS 
736,LUX 
737,LUX 
738,LUX 
739,LUX 
740,LUX 
741,LUX 
742,MAAZA 
743,MAAZA 
744,MAAZA 
745,MAAZA 
746,MAAZA 500+10 
747,MAGGI 
748,MAGGI 
749,MAGGI 
750,MAGGI 
751,MAGGI 
752,MAGGI 
753,MAGGI 
754,MAGGI 
755,MAGGI 
756,MAIDA 
757,MAIDA 
758,MAIDA 
759,MASOOR 
760,MASOOR 
761,MEALMAKER 
762,MEALS 
763,MEDIKER 
764,MEDIKER 
765,MEDIMIX 
766,MEDIMIX 
767,MEDIMIX 
768,MEDIMIX 
769,MEERA 
770,MEERA 
771,MEERA 
772,MENTHI 
773,MENTHI 
774,MESWAK 
775,MESWAK 
776,MISIRI 
777,MISIRI 
778,MOONG 
779,MOONG 
780,MOONG 
781,MOONG 
782,MOONG 
783,MOOV 
784,MOOV 
785,MOOV 
786,MORTEIN 
787,MORTEIN 
788,MORTEIN 
789,MORTEIN 
790,MR 
791,MR 
792,MTR 
793,MTR 
794,MTR 
795,MTR 
796,MTR 
797,MTR 
798,MTR 
799,MTR 
800,MTR 
801,MTR 
802,MTR 
803,MTR 
804,MTR 
805,MTR 
806,MTR 
807,MTR 
808,MTR 
809,MTR 
810,MTR 
811,MTR 
812,MTR 
813,MTR 
814,MTR 
815,MTR 
816,MTR 
817,MTR 
818,MTR 
819,MTR 
820,MTR 
821,MTR 
822,McVITIES 
823,McVITIES 
824,NAPTHALANE 
825,NAPTHALENE 
826,NATARAJ 
827,NATARAJ 
828,NATARAJ 
829,NATARAJ 
830,NATARAJ 
831,NATIONAL 
832,NATIONAL 
833,NESCAFE 
834,NESCAFE 
835,NESCAFE 
836,NESCAFE 
837,NESTEA 
838,NESTLE 
839,NESTLE 
840,NESTLE 
841,NESTLE 
842,NESTLE 
843,NESTLE 
844,NESTLE 
845,NESTLE 
846,NESTLE 
847,NESTLE 
848,NESTLE 
849,NESTLE 
850,NESTLE 
851,NESTLE 
852,NESTLE 
853,NESTLE 
854,NESTLE 
855,NESTUM 
856,NESTUM 
857,NESTUM 
858,NIPPO 
859,NIPPO 
860,NIPPO 
861,NIPPO 
862,NIPPO 
863,NIVEA 
864,NIVEA 
865,NIVEA 
866,NIVEA 
867,NIVEA 
868,NIVEA 
869,NIVEA 
870,NIVEA 
871,NIVEA 
872,NIVEA 
873,NIVEA 
874,NIVEA 
875,NIVEA 
876,NIVEA 
877,NIVEA 
878,NIVEA 
879,ODOMAS 
880,ODOMOS 
881,ODOMOS 
882,ODOMOS 
883,ODONIL 
884,ODONIL 
885,OLD 
886,OLD 
887,ORAL 
888,ORAL 
889,ORAL 
890,ORAL 
891,ORAL 
892,ORAL 
893,ORAL 
894,ORAL 
895,ORALB 
896,ORALB 
897,OREO 
898,OREO 
899,OXY 
900,OXY 
901,PAKEEZAH 
902,PAKEEZAH 
903,PAKEEZAH 
904,PAKEEZAH 
905,PALMOLIVE 
906,PALMOLIVE 
907,PAMPERS 
908,PAMPERS 
909,PAMPERS 
910,PAMPERS 
911,PAMPERS 
912,PAMPERS 
913,PANTENE  
914,PANTENE 
915,PANTENE 
916,PANTENE 
917,PANTENE 
918,PARAC 
919,PARACHUTE 
920,PARACHUTE 
921,PARACHUTE 
922,PARACHUTE 
923,PARACHUTE 
924,PARACHUTE 
925,PARAG 
926,PARK 
927,PARKER 
928,PARLA 
929,PARLE  
930,PARLE 
931,PARLE 
932,PARLE 
933,PARLE 
934,PARLE 
935,PARLE 
936,PARTY 
937,PARTY 
938,PARTY 
939,PEARS 125G*3 
940,PEARS 
941,PEARS 
942,PEARS 
943,PEARS125G 
944,PEDIASURE 
945,PEDIASURE 
946,PEDIASURE 
947,PEDIASURE 
948,PEPSI 
949,PEPSODENT 
950,PEPSODENT 
951,PEPSODENT 
952,PEPSODENT 
953,PEPSODENT 
954,PEPSODENT 
955,PEPSODENT 
956,PEPSODENT 
957,PILLSBURY 
958,PILLSBURY 
959,PILLSBURY 
960,PILLSBURY 
961,PITAMBARI 
962,PITAMBARI 
963,PLASTIC 
964,PLASTIC 
965,PLASTIC 
966,PLASTIC 
967,PLASTICK 
968,POLO 
969,POLO 
970,PONDS 
971,PONDS 
972,PONDS 
973,PONDS 
974,PONDS 
975,PONDS 
976,PONDS 
977,PONDS 
978,PONDS 
979,PREMIER 
980,PREMIER 
981,PREMIER 
982,PREMIER 
983,PREMIER 
984,PREMIER 
985,PREMIER 
986,PREMIUM 
987,PREMIUM 
988,PREMIUM 
989,PREMS 
990,PRIL 
991,PRILL 
992,PRILL 
993,PRILL 
994,PRIYA 
995,PRIYA 
996,PRIYA 
997,PRIYA 
998,PRIYA 
999,PRIYA 
1000,PRIYA 
1001,PRIYA 
1002,PRIYA 
1003,PRIYA 
1004,PRIYA 
1005,PRIYA 
1006,PRIYA 
1007,PRIYA 
1008,PRO 
1009,PRO 
1010,PRO 
1011,PRO 
1012,PRO 
1013,PRO 
1014,PRO 
1015,PRO 
1016,PRO 
1017,PROTINEX 
1018,PROTINEX 
1019,PROTINEX 
1020,PROTINEX 
1021,PROTINEX 
1022,PUTANALU 
1023,PUTANALU 
1024,QUAKER 
1025,QUAKER 
1026,RAI 
1027,RAI 
1028,RAI 
1029,RAI 
1030,RAJAMA 
1031,RAJAMA 
1032,RAJAMA 
1033,RAJAS 
1034,RAJA`S 
1035,RANGEELA 
1036,RANGOLI 
1037,RASNA 
1038,RASNA 
1039,RATNA 
1040,RATNA 
1041,RATNA 
1042,REAL 
1043,REAL 
1044,RED 
1045,RED 
1046,RED 
1047,RED 
1048,RED 
1049,RED 
1050,RED 
1051,REVIVE 
1052,REVIVE 
1053,REVLON 
1054,REVLON 
1055,RIN 
1056,RIN 
1057,RIN 
1058,RIN 
1059,RIN 
1060,RIN 
1061,RIN 
1062,RIN 
1063,RIN 
1064,ROBIN 
1065,ROBIN 
1066,ROUND 
1067,ROUNDCOMB 
1068,ROUNDCOMB 
1069,SABENA 
1070,SABENA 
1071,SABENA 
1072,SABJA 
1073,SABJA 
1074,SAFFOLA 
1075,SAFFOLA 
1076,SAFFOLA 
1077,SAFFOLA 
1078,SAGO 
1079,SAGO 
1080,SAGO 
1081,SAGO 
1082,SAI  
1083,SAI  
1084,SANTOOR 
1085,SANTOOR 
1086,SANTOOR 
1087,SARA 
1088,SARA 
1089,SARA 
1090,SATVA 
1091,SATVA 
1092,SCOTCH 
1093,SCOTCH 
1094,SENSODYNE 
1095,SENSODYNE 
1096,SENSODYNE 
1097,SET 
1098,SET 
1099,SET 
1100,SET 
1101,SHAJEERA 
1102,SHAJEERA 
1103,SHALIMAR`S 
1104,SHALIMAR`S 
1105,SKY 
1106,SKY 
1107,SKY 
1108,SKY 
1109,SKY 
1110,SOYA 
1111,SOYA 
1112,SOYA 
1113,SPLENDA 
1114,SPLENDA 
1115,SPRITE 
1116,SPRITE 
1117,SPRITE 
1118,SPRITE 
1119,SPRITE 
1120,SPRITE 
1121,SPRITE 
1122,SRI 
1123,SRI 
1124,STAYFREE 
1125,STAYFREE 
1126,SUGAR 
1127,SUGAR 
1128,SUGAR 
1129,SUGAR 
1130,SUGAR 
1131,SUGAR 
1132,SUGAR 
1133,SUGAR 
1134,SUGAR 
1135,SUNDROP 
1136,SUNDROP 
1137,SUNDROP 
1138,SUNDROP 
1139,SUNDROP 
1140,SUNFEAST 
1141,SUNFEAST 
1142,SUNFEAST 
1143,SUNFEAST 
1144,SUNFEAST 
1145,SUNFEAST 
1146,SUNFEAST 
1147,SUNFEAST 
1148,SUNFEAST 
1149,SUNSILK 
1150,SUNSILK 
1151,SUNSILK 
1152,SUNSILK 
1153,SUPER 
1154,SUPER 
1155,SUPERMAX 
1156,SUPERMAX 
1157,SUPERMAX 
1158,SUPERMAX 
1159,SURF 
1160,SURF 
1161,SURF 
1162,SURF 
1163,SURF 
1164,SURF 
1165,SURYA 
1166,SURYA 
1167,SURYA 
1168,SURYA 
1169,SURYA 
1170,SURYA 
1171,SWARNA 
1172,SWARNA 
1173,TAMRIND 
1174,TAMRIND 
1175,TAMRIND 
1176,TATA 
1177,TATA 
1178,TATA 
1179,TATA 
1180,TATA 
1181,TATA 
1182,TATA 
1183,TATA 
1184,TATA 
1185,TATA 
1186,TATA 
1187,TETLEY 
1188,TETLEY 
1189,TETLEY 
1190,TETLYE 
1191,THERMOCOL 
1192,THERMOCOL 
1193,THREE 
1194,THREE 
1195,THUMS 
1196,THUMS 
1197,THUMS 
1198,THUMSUP 
1199,THUMSUP 
1200,THUMSUP 
1201,THUMSUP 
1202,TIDE 
1203,TIDE 
1204,TIDE 
1205,TIL 
1206,TIL 
1207,TIL NYLON(OR) 
1208,TIL 
1209,TOOR 
1210,TOOR 
1211,TOOR 
1212,TOOTH 
1213,TOOTH 
1214,TRESEMME 
1215,TRESEMME 
1216,TROPICANA 
1217,TROPICANA 
1218,TROPICANA 
1219,TROPICANA 
1220,TROPICANA 
1221,TROPICANA 
1222,TROPICANA 
1223,TROPICANA 
1224,TROPICANA 
1225,TROPICANA 
1226,TROPICANA 
1227,UDATH 
1228,UDATH 
1229,UDATH 
1230,UDATH 
1231,UJALA 
1232,UJALA 
1233,UJALA 
1234,VAMU 
1235,VAMU 
1236,VAMU 
1237,VANILLA 
1238,VANISH 
1239,VANISH 
1240,VANISH 
1241,VASELINE 
1242,VASELINE 
1243,VASELINE 
1244,VASELINE 
1245,VASELINE 
1246,VASELION 
1247,VATHULU 
1248,VATHULU 
1249,VEET 
1250,VEET 
1251,VEET 
1252,VEET 
1253,VICCO 
1254,VICCO 
1255,VICCO 
1256,VICKS 
1257,VICKS 
1258,VICKS 
1259,VICKS 
1260,VIJAYA 
1261,VIJAYA 
1262,VIM 
1263,VIM 
1264,VIM 
1265,VIM 
1266,VIM 
1267,VIM 
1268,VISAKHA 
1269,VISAKHA 
1270,VIVEL 
1271,VIVEL 
1272,VIVEL 
1273,VIVEL 
1274,W F 
1275,W F 
1276,W F 
1277,W F 
1278,W F 
1279,WALNUT 
1280,WALNUT 
1281,WHEAT 
1282,WHEAT 
1283,WHISPER 
1284,WHISPER 
1285,WHISPER 
1286,WHISPER 
1287,WILSON 
1288,WILSON 
1289,WILSON 
1290,WIPRO 
1291,WIPRO 
1292,WIPRO 
1293,WIPRO 
1294,WIPRO 
1295,WIPRO 
1296,WIPRO 
1297,WOODEN 
1298,WOODWARDS 
1299,YARDLEY 
1300,YARDLEY 
1301,YARDLEY 
1302,YARDLEY 
1303,Z TALC 
1304,Z TALC 
1305,ZANDU 
1306,ZANDU 
